event,counts__log_dispersion_16,counts__log_dispersion_128,counts__log_dispersion_1024,counts__width90,counts__asymmetry,counts__top10pct_fraction,counts__bin_entropy,counts__spectral_entropy,counts__spectral_peak3,counts__fano_sample,count_pair_V2__envelope_corr,count_pair_V4__envelope_corr,count_pair_V1V2__envelope_corr,count_pair_V3V4__envelope_corr,count_pair_SCM5__envelope_corr
0,0.017063014559004195,0.059669271143980455,0.46954803376932536,0.7140625,-0.29321663019693667,0.8611111111111112,0.6115184029580668,0.9905547514133702,0.004523980427835082,0.9989318521683401,-0.005498297332993084,-0.011496702681572248,0.03278361345757844,0.02578040578835198,0.13793276318947736
1,0.3450346749016546,1.068816027656675,1.961831714550473,0.7605937499999994,-0.4980919028525999,0.2677228786251343,0.9322660706736275,0.9925933270770235,0.005959026917951908,0.9341791145416698,-0.005809514243964059,0.0005250275649150843,-0.014030547076696417,0.0036725520135544917,-0.0909415237116353
2,0.10327477224253502,0.6237335170705263,1.4253828335743073,0.9068567936042663,0.13691240596463125,0.13956550362080317,0.9945837175430181,0.993111283624866,0.009006533764336262,0.6994127103401651,0.08381410844369123,0.10504702498632008,0.1606819231907417,0.15002902998931278,-0.21365870627627032
3,-0.002074076499753368,0.1418549437821448,0.5653339070122553,0.903988486842102,-0.01540246478989888,0.12617246596066567,0.9983097119693454,0.9930705820182635,0.010764230110566316,0.7014201726054871,0.05964349131927056,0.15365175186998256,0.15247719039238394,0.18987160540537412,-0.010954450299459167
4,-1.0324058383693767e-07,-6.678531629789675e-06,-0.0004521542244839965,0.64375,-0.9890776699029126,1.0,0.125,0.9999898790826565,0.0015128356501140354,0.999969481490524,-0.022113415355491543,-0.07138023081652155,-0.05943165987770091,-0.04764197604008947,0.014734134904589608
5,0.22293878231603395,0.9092485431830576,1.7096890754071745,0.8958751972174412,-0.01478996121928256,0.12522785271600437,0.9942950318285148,0.989123722944574,0.01500402683665647,0.5338566035707145,0.11748686861728794,0.048918103416727796,0.10619094512582952,0.07443010381389445,-0.14905538099136728
6,0.21402498229388991,0.9014205310321227,1.7564292590218893,0.9034816576086959,-0.028897306239072933,0.12582056892778992,0.9944526377929321,0.9898935917542437,0.013209534319710798,0.5308926005124661,-0.009473933820468614,0.0474030979089798,0.20784733812373,0.24518546983137585,0.009110428161564044
7,0.057051077513361595,0.23711850060075607,0.8738871164581677,0.56357421875,-0.6302200658464738,0.5691056910569106,0.7532125286445307,0.990033412875335,0.00451211823068589,0.9962767418439283,0.060783496031956825,0.0859973193050926,0.15989437745920443,0.1348353453555528,-0.24087937919342003
8,0.26884061591848235,0.9260735498229347,1.8067745319740076,0.7545410156249996,-0.1810617594267172,0.21486854034451497,0.9551981473539873,0.9929699710483878,0.008485779580443517,0.9166083527029951,0.04964397688474836,0.26930877764081995,0.2525729092242521,0.2784977000017169,0.0045214042561530915
9,0.22474874595389963,0.9202484143827,1.7597551112732317,0.9061509844464606,-0.02482183273082176,0.12462709826795494,0.9942791399969781,0.9887124886479054,0.015518416655739893,0.5261182734881135,-0.2024480304022775,0.05226891351050372,-0.23821247282658764,0.07528855451859792,-0.07344657052837288
